Product,Size/Type,Prodigi Cost,50% Markup,100% Markup
Art Print,4x6,3.16,4.75,6.50
Art Print,A4,8.69,13.00,17.50
Art Print,A3,11.06,16.50,22.00
Art Print,A2,11.85,17.75,24.00
Art Print,18x26,16.59,24.75,33.50
Classic Frame,8x8 - Black,30.00,45.00,60.00
Classic Frame,12x12 - Black,39.00,59.00,78.00
Classic Frame,A4 - Black,35.00,52.50,70.00
Classic Frame,A3 - Black,49.00,73.50,98.00
Classic Frame,18x24 - Black,69.00,103.50,138.00
Framed Canvas,8x10 - Black,22.00,33.00,44.00
Framed Canvas,14x14 - Black,35.00,52.50,70.00
Framed Canvas,18x18 - Black,44.00,66.00,88.00
Framed Canvas,24x18 - Black,55.00,82.50,110.00
Stretched Canvas,6x6,13.00,19.50,26.00
Stretched Canvas,12x16,24.00,36.00,48.00
Stretched Canvas,18x22,34.00,51.00,68.00
Stretched Canvas,9x12,18.00,27.00,36.00
Digital Print,PNG Download,29.99,45.00,60.00
