Title,Handle,Vendor,Type,Tags,Status,SKU,Option1 Name,Option1 Value,Price,Requires Shipping
Art Print,art-print,Prodigi,Print,Physical,Active,ART-FAP-EMA-10X10,Size,10x10 in,6.50,TRUE
,,,,,Active,GLOBAL-FAP-A3,Size,A3,22.00,TRUE
,,,,,Active,ART-FAP-PAP-11X14,Size,11x14 in,10.00,TRUE
,,,,,Active,ART-FAP-EMA-12X12,Size,12x12 in,9.00,TRUE
,,,,,Active,FAP-12X16-GBLEGACY,Size,12x16 in,14.00,TRUE
,,,,,Active,P-FIN-HGE-297X419,Size,12x17 in,33.50,TRUE
,,,,,Active,ART-FAP-EMA-12X18,Size,12x18 in,19.00,TRUE
,,,,,Active,GLOBAL-FAP-14X14,Size,14x14 in,22.00,TRUE
,,,,,Active,ART-FAP-CPWP-14X20,Size,14x20 in,22.00,TRUE
,,,,,Active,P-FIN-BAP-400X400,Size,15.7x15.7 in,14.00,TRUE
,,,,,Active,P-FIN-BAP-400X500,Size,15.7x19.7 in,14.00,TRUE
,,,,,Active,P-FIN-HGE-400X600,Size,15.7x23.6 in,38.00,TRUE
,,,,,Active,GLOBAL-FAP-15X20,Size,15x20 in,25.50,TRUE
,,,,,Active,GLOBAL-FAP-A2,Size,A2,24.00,TRUE
,,,,,Active,ART-FAP-EMA-16X16,Size,16x16 in,18.00,TRUE
,,,,,Active,ART-FAP-EMA-16X20,Size,16x20 in,20.50,TRUE
,,,,,Active,ART-FAP-EMA-16X24,Size,16x24 in,20.00,TRUE
,,,,,Active,GLOBAL-FAP-18X18,Size,18x18 in,24.00,TRUE
,,,,,Active,FAP-18X24-GBLEGACY,Size,18x24 in,20.00,TRUE
,,,,,Active,P-FIN-EMA-457X660,Size,18x26 in,33.50,TRUE
,,,,,Active,ART-FAP-EMA-4X6,Size,4x6 in,6.50,TRUE
,,,,,Active,GLOBAL-FAP-A5,Size,A5,12.00,TRUE
,,,,,Active,ART-FAP-EMA-5X7,Size,5x7 in,6.00,TRUE
,,,,,Active,ART-FAP-EMA-6X6,Size,6x6 in,6.00,TRUE
,,,,,Active,ART-FAP-EMA-6X8,Size,6x8 in,6.00,TRUE
,,,,,Active,GLOBAL-FAP-6X9,Size,6x9 in,12.50,TRUE
,,,,,Active,GLOBAL-FAP-A4,Size,A4,17.50,TRUE
,,,,,Active,GLOBAL-FAP-8X10,Size,8x10 in,14.50,TRUE
,,,,,Active,ART-FAP-CPWP-8X11,Size,8x11 in,9.50,TRUE
,,,,,Active,ART-FAP-EMA-8X12,Size,8x12 in,17.50,TRUE
,,,,,Active,ART-FAP-EMA-8X8,Size,8x8 in,8.00,TRUE
,,,,,Active,GLOBAL-FAP-9X12,Size,9x12 in,20.50,TRUE
,,,,,Active,ART-FAP-CPWP-9X9,Size,9x9 in,9.50,TRUE
Classic Frame,classic-frame,Prodigi,Frame,Physical,Active,FRA-CLA-EMA-MOUNT1-GLA-A3,Size,A3 - Black,98.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-A3,Size,A3 - White,98.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-28x35,Size,11x14 in - Black,82.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-28x35,Size,11x14 in - White,82.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-30x30,Size,12x12 in - Black,78.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-30x30,Size,12x12 in - White,78.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-30x40,Size,12x16 in - Black,90.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-30x40,Size,12x16 in - White,90.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-30x45,Size,12x18 in - Black,106.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-30x45,Size,12x18 in - White,106.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-A2,Size,A2 - Black,124.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-A2,Size,A2 - White,124.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-40x40,Size,16x16 in - Black,108.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-40x40,Size,16x16 in - White,108.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-40x50,Size,16x20 in - Black,116.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-40x50,Size,16x20 in - White,116.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-40x60,Size,16x24 in - Black,122.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-40x60,Size,16x24 in - White,122.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-45x60,Size,18x24 in - Black,138.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-45x60,Size,18x24 in - White,138.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-A4,Size,A4 - Black,70.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-A4,Size,A4 - White,70.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-20x30,Size,8x12 in - Black,64.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-20x30,Size,8x12 in - White,64.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-20x20,Size,8x8 in - Black,60.00,TRUE
,,,,,Active,FRA-CLA-EMA-MOUNT1-GLA-20x20,Size,8x8 in - White,60.00,TRUE
Framed Canvas,framed-canvas,Prodigi,Canvas,Physical,Active,CAN-38MM-FRA-SC-10x14,Size,10x14 in - Black,56.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-10x14,Size,10x14 in - White,56.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-14x14,Size,14x14 in - Black,70.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-14x14,Size,14x14 in - White,70.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-14x20,Size,14x20 in - Black,84.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-14x20,Size,14x20 in - White,84.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x12,Size,16x12 in - Black,70.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x12,Size,16x12 in - White,70.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x22,Size,16x22 in - Black,96.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x22,Size,16x22 in - White,96.00,TRUE
,,,,,Active,GLOBAL-FRA-CAN-17X21,Size,17x21 in - Black,86.00,TRUE
,,,,,Active,GLOBAL-FRA-CAN-17X21,Size,17x21 in - White,86.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x12,Size,18x12 in - Black,74.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x12,Size,18x12 in - White,74.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x18,Size,18x18 in - Black,88.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x18,Size,18x18 in - White,88.00,TRUE
