sku,product,format,size_label,price_gbp,price_usd,price_eur
GLOBAL-HGE-A5,Art Print,ISO,A5,15,36,24
GLOBAL-HGE-A4,Art Print,ISO,A4,19,42,28
GLOBAL-HGE-A3,Art Print,ISO,A3,33,53,38
GLOBAL-HGE-A2,Art Print,ISO,A2,43,62,49
GLOBAL-HGE-6X6,Art Print,Square,6x6",12,34,22
GLOBAL-HGE-8X8,Art Print,Square,8x8",14,36,24
GLOBAL-HGE-10X10,Art Print,Square,10x10",21,43,29
GLOBAL-HGE-12X12,Art Print,Square,12x12",25,43,33
GLOBAL-HGE-16X16,Art Print,Square,16x16",36,54,42
GLOBAL-CFPM-A5,Classic Frame,ISO,A5,48,101,61
GLOBAL-CFPM-A4,Classic Frame,ISO,A4,56,108,70
GLOBAL-CFPM-A3,Classic Frame,ISO,A3,71,127,87
GLOBAL-CFPM-A2,Classic Frame,ISO,A2,98,143,110
GLOBAL-CFPM-8X8,Classic Frame,Square,8x8",50,99,61
GLOBAL-CFPM-12X12,Classic Frame,Square,12x12",66,115,73
GLOBAL-CFPM-16X16,Classic Frame,Square,16x16",80,125,91
GLOBAL-CAN-A5,Stretched Canvas,ISO,A5,35,71,46
GLOBAL-CAN-A4,Stretched Canvas,ISO,A4,36,71,47
GLOBAL-CAN-A3,Stretched Canvas,ISO,A3,49,87,60
GLOBAL-CAN-A2,Stretched Canvas,ISO,A2,65,108,78
GLOBAL-CAN-6X6,Stretched Canvas,Square,6x6",35,66,41
GLOBAL-CAN-8X8,Stretched Canvas,Square,8x8",35,66,44
GLOBAL-CAN-10X10,Stretched Canvas,Square,10x10",38,71,47
GLOBAL-CAN-12X12,Stretched Canvas,Square,12x12",43,77,52
GLOBAL-CAN-16X16,Stretched Canvas,Square,16x16",52,90,62
DIGITAL-ISO,Digital Print,ISO,Digital,15,19,17
DIGITAL-SQUARE,Digital Print,Square,Digital,15,19,17
